Date,AQI
2019-03-14,92.8
2019-03-15,116.0
2019-03-16,115.3076923
2019-03-17,114.1666667
2019-03-18,105.125
2019-03-19,98.04166667
2019-03-20,96.0
2019-03-21,110.4736842
2019-03-22,109.25
2019-03-23,115.25
2019-03-24,108.5416667
2019-03-25,103.0
2019-03-26,132.5
2019-03-27,128.0833333
2019-03-28,116.4583333
2019-03-29,125.95
2019-03-30,128.0
2019-03-31,117.1666667
2019-04-01,107.9047619
2019-04-09,123.25
2019-04-10,107.6666667
2019-04-11,115.1176471
2019-04-12,111.125
2019-04-13,122.5789474
2019-04-14,109.375
2019-04-15,101.9583333
2019-04-16,103.5416667
2019-04-17,109.8333333
2019-04-18,85.5
2019-04-19,77.72727273
2019-04-20,85.08333333
2019-04-21,103.4583333
2019-04-22,87.29166667
2019-04-23,85.47619048
2019-04-24,95.80952381
2019-04-25,108.7916667
2019-04-26,102.7272727
2019-04-27,125.5454545
2019-04-28,129.6521739
2019-04-29,108.8333333
2019-04-30,96.08333333
2019-05-01,84.0
2019-05-02,87.70833333
2019-05-03,97.29166667
2019-05-04,102.4
2019-05-17,81.83333333
2019-05-18,121.1666667
2019-05-19,98.375
2019-05-20,103.7083333
2019-05-21,99.70833333
2019-05-22,115.2608696
2019-05-23,89.82608696
2019-05-24,94.75
2019-05-25,92.29166667
2019-05-26,100.75
2019-05-27,97.92857143
2019-05-28,87.04166667
2019-05-29,121.5416667
2019-05-30,99.125
2019-05-31,108.25
2019-06-01,100.7083333
2019-06-02,74.91666667
2019-06-03,86.0
2019-06-04,73.16666667
2019-06-05,74.95833333
2019-06-06,108.25
2019-06-07,90.82608696
2019-06-08,84.04347826
2019-06-09,66.18181818
2019-06-10,58.91666667
2019-06-11,56.29166667
2019-06-12,50.70833333
2019-06-13,44.91666667
2019-06-14,50.70833333
2019-06-15,51.375
2019-06-16,67.0
2019-06-17,60.5
2019-06-18,66.41666667
2019-06-19,63.54166667
2019-06-20,54.0
2019-06-21,56.45833333
2019-06-22,55.04166667
2019-06-23,52.125
2019-06-24,64.46153846
2019-06-25,67.27272727
2019-06-26,55.91666667
2019-06-27,61.75
2019-06-28,73.08333333
2019-06-29,75.08333333
2019-06-30,76.125
2019-07-01,68.45833333
2019-07-02,72.33333333
2019-07-03,75.25
2019-07-04,49.91304348
2019-07-05,53.625
2019-07-06,59.04166667
2019-07-07,69.0
2019-07-08,59.83333333
2019-07-09,54.66666667
2019-07-10,49.125
2019-07-11,53.56521739
2019-07-12,52.29166667
2019-07-13,59.41666667
2019-07-14,55.79166667
2019-07-15,46.95833333
2019-07-16,46.375
2019-07-17,52.125
2019-07-18,60.125
2019-07-19,39.54166667
2019-07-20,33.16666667
2019-07-21,38.91666667
2019-07-22,32.75
2019-07-23,38.0
2019-07-24,39.25
2019-07-25,40.90909091
2019-07-26,39.5
2019-07-27,46.16666667
2019-07-28,57.25
2019-07-29,42.625
2019-07-30,40.04166667
2019-07-31,45.375
2019-08-01,40.58333333
2019-08-02,41.375
2019-08-03,47.0
2019-08-04,45.16666667
2019-08-05,32.25
2019-08-06,32.75
2019-08-07,29.75
2019-08-08,31.375
2019-08-09,28.29166667
2019-08-10,30.25
2019-08-11,30.70833333
2019-08-12,38.89473684
2019-08-13,40.70833333
2019-08-14,39.875
2019-08-15,41.91666667
2019-08-16,39.25
2019-08-17,46.29166667
2019-08-18,47.08333333
2019-08-19,48.70833333
2019-08-20,47.08333333
2019-08-21,40.875
2019-08-22,41.33333333
2019-08-23,36.125
2019-08-24,31.61538462
2019-08-26,51.15384615
2019-08-27,48.16666667
2019-08-28,48.2
2019-08-29,44.2
2019-08-30,43.70833333
2019-08-31,52.25
2019-09-01,46.08333333
2019-09-02,33.56521739
2019-09-03,32.56521739
2019-09-04,36.45833333
2019-09-05,37.30434783
2019-09-06,36.5
2019-09-07,38.45833333
2019-09-08,38.29166667
2019-09-09,42.20833333
2019-09-10,49.04166667
2019-09-11,52.85
2019-09-12,49.43478261
2019-09-13,51.5
2019-09-14,51.79166667
2019-09-15,56.25
2019-09-16,46.41666667
2019-09-17,48.33333333
2019-09-18,54.91666667
2019-09-19,48.95833333
2019-09-20,51.125
2019-09-21,60.79166667
2019-09-22,72.52173913
